Date,Close/Last,Volume,Open,High,Low
05/13/2021,$269.72,1289758,$270.94,$273.7,$267.22
05/12/2021,$269.54,984157,$271.95,$275.09,$267.34
05/11/2021,$277.42,933177,$269,$280.555,$265.75
05/10/2021,$276.05,839223,$285.89,$286,$275.88
05/07/2021,$285.76,799813,$285.66,$292.6448,$283.9
05/06/2021,$284.35,1131132,$280.49,$284.72,$277.79
05/05/2021,$281.08,839435,$280.21,$282,$277.68
05/04/2021,$279.73,1052232,$284.23,$284.23,$274.5
05/03/2021,$287.5,644746,$292.99,$293.5,$286.07
04/30/2021,$291.91,732176,$294.55,$295.47,$290.5
04/29/2021,$296.28,906891,$301.5,$301.5,$293.79
04/28/2021,$299.23,908357,$298.07,$299.56,$296.18
04/27/2021,$297.87,812676,$299.41,$299.97,$294.25
04/26/2021,$299.34,833414,$294.67,$300.76,$294.4
04/23/2021,$295.27,1073549,$289.47,$296.57,$289.12
04/22/2021,$288,1721026,$287.54,$292.24,$285.72
04/21/2021,$288.87,893458,$285.76,$289.73,$284.15
04/20/2021,$286.36,967453,$288.16,$289.05,$282.82
04/19/2021,$290.2,939254,$297.27,$299.46,$288.85
04/16/2021,$300.16,861303,$300.18,$301.355,$296.58
04/15/2021,$298.86,1103606,$299.78,$303.69,$298.22
04/14/2021,$294.35,881144,$297.24,$301.41,$293.79
04/13/2021,$295.35,1007856,$295.34,$298.66,$293.12
04/12/2021,$294.5,1378616,$294,$296.25,$293
04/09/2021,$297.57,1032737,$292.56,$297.9,$290.38
04/08/2021,$293.43,1220409,$290,$297.76,$288.645
04/07/2021,$286.12,718673,$286.83,$287.59,$283.24
04/06/2021,$285.5,898549,$286.86,$288.63,$284.6475
04/05/2021,$288.32,950902,$285.74,$289.42,$284.2857
04/01/2021,$283.9,1509442,$277.84,$285.64,$277.84
03/31/2021,$277.15,1666149,$269.79,$279.66,$269.65
03/30/2021,$268.43,904450,$268.18,$271.9,$264.47
03/29/2021,$270.78,1311186,$266.97,$273.1,$265.5
03/26/2021,$269.01,1642223,$261.35,$269.22,$260.88
03/25/2021,$262.19,906194,$262.21,$263.34,$257.315
03/24/2021,$263.18,1191663,$270,$270.97,$262.97
03/23/2021,$269,1313554,$268.91,$274.83,$267.01
03/22/2021,$265.96,1863436,$261.03,$269.29,$261.03
03/19/2021,$261.5,2320357,$261.79,$265.215,$258.85
03/18/2021,$263.44,1356028,$265.56,$271,$263.14
03/17/2021,$272.84,1092239,$272.02,$275.31,$265.09
03/16/2021,$275.01,1041336,$275.21,$277.7,$272.01
03/15/2021,$273.02,865229,$267.98,$273.75,$266.3
03/12/2021,$268.11,926091,$270.07,$272,$264.4
03/11/2021,$274.36,2029446,$270.92,$276,$269.015
03/10/2021,$263.64,1420677,$269.76,$271.75,$262.32
03/09/2021,$263.97,2708645,$262.24,$266.43,$260.03
03/08/2021,$253.1,1623241,$265.21,$268.28,$252.6
03/05/2021,$267.39,1835526,$270.33,$270.33,$255.02
03/04/2021,$265.44,1812588,$266.8,$273.28,$263.02
03/03/2021,$269.3,1409245,$275.7,$276.82,$267.04
03/02/2021,$277.92,1267254,$285.55,$286.9,$277.33
03/01/2021,$284.27,1831355,$279.86,$284.72,$278.07
02/26/2021,$276,2529278,$283.45,$291.98,$274.82
02/25/2021,$284.03,1489308,$294.81,$298.77,$282.245
02/24/2021,$298.91,1397415,$281.33,$299.155,$280.6247
02/23/2021,$290.25,1487201,$292.41,$293.52,$284.56
02/22/2021,$297.7,954481,$301.46,$303.15,$297.665
02/19/2021,$305.4,1208190,$301.74,$310.05,$301.11
02/18/2021,$300.72,1264681,$299,$301.78,$292.855
02/17/2021,$302.52,891045,$306.1,$307.185,$296.44
02/16/2021,$308.22,1571964,$307.95,$316.3097,$307.296
02/12/2021,$305.14,1529915,$297.93,$305.5,$295.32
02/11/2021,$300.21,1612362,$304.49,$305.48,$298.32
02/10/2021,$301.71,1195568,$305.56,$306.2,$299.65
02/09/2021,$304.5,1399872,$308.15,$308.15,$302.77
02/08/2021,$302.81,945222,$308.33,$310.07,$302.12
02/05/2021,$305.86,1086201,$302.992,$307.86,$301.88
02/04/2021,$300.49,931030,$294.36,$300.67,$291.72
02/03/2021,$292.85,856142,$294.45,$295.94,$292.73
02/02/2021,$294.61,1146225,$288.62,$296.765,$288.62
02/01/2021,$286.32,1160107,$280.41,$287.73,$279.33
01/29/2021,$277.43,1611181,$281.68,$283.63,$274.6301
01/28/2021,$284.22,1752663,$277.16,$289.4,$276.7
01/27/2021,$273.47,2714719,$285.32,$285.32,$272.6974
01/26/2021,$291.75,2134214,$294,$295.94,$291.32
01/25/2021,$293.64,2698053,$301.76,$302.49,$289.52
01/22/2021,$299.17,2590522,$303,$306.5,$296.505
01/21/2021,$306.46,2004285,$309.24,$309.96,$305.34
01/20/2021,$308.58,1794524,$311.52,$315.26,$307.42
01/19/2021,$310.97,1414107,$314.83,$315.47,$310.25
01/15/2021,$308.51,1248598,$311.74,$316.35,$308.03
01/14/2021,$311.11,1269716,$314.08,$316.11,$310.06
01/13/2021,$314.33,1182030,$320.75,$321.13,$313.07
01/12/2021,$320.13,859508,$320,$320.94,$317.11
01/11/2021,$317.81,1232960,$317.43,$319.84,$313.75
01/08/2021,$319.85,1196778,$316.41,$320.4339,$315.0762
01/07/2021,$315.2,1527642,$305.45,$316.45,$305.01
01/06/2021,$302.87,1557737,$294.1469,$309.95,$294.1271
01/05/2021,$301.7,1636915,$297.84,$302.511,$296.54
01/04/2021,$296.84,1407015,$304.11,$307.83,$293.05
12/31/2020,$305.34,941702,$299,$305.85,$299
12/30/2020,$299.41,513673,$300.25,$301.51,$297.94
12/29/2020,$298.11,672891,$300,$301.73,$296.03
